STN Code,Monitoring Location,Type Water Body,State Name,Temperature (°C),,Dissolved Oxygen (mg/L),,pH,,Conductivity (µmho/cm),,BOD (mg/L),,NitrateN (mg/L),,Fecal Coliform (MPN/100ml),,Total Coliform (MPN/100ml),,Fecal Streptococci (MPN/100ml),,,Year
,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,,
4385,"SEA WATER, BAY OF BENGAL, KOTHAPATNAM BEACH",BEACH,ANDHRA PRADESH,22,25,5.9,6.6,7.2,8.2,39200,53600,2.4,2.9,0.3,1.1,3,14,28,150,2,3,,2023
4378,"SEA WATER, BAY OF BENGAL, MANGINAPUDI BEACH, MACHILIPATNAM (V & M)",BEACH,ANDHRA PRADESH,25,27,5.8,6.6,7.3,7.9,39900,53300,2.4,2.8,0.7,1.3,3,14,23,150,2,3,,2023
5671,Mypadu Beach Mypadu Village Indukurupet Mandal,BEACH,ANDHRA PRADESH,18,23,5.7,6.4,7.6,8.1,46200,53200,2.6,2.8,0.9,1.3,4,11,23,93,2,2,,2023
5679,"Pakala Beach Pakala (V), Singarayakonda (M)",BEACH,ANDHRA PRADESH,22,25,5.8,6.6,7.3,8.1,41000,57200,2.2,2.9,0.9,1.2,7,14,39,93,2,2,,2023
5680,"Perupalem Beach, Perupalem (V), Mogalturu (M)",BEACH,ANDHRA PRADESH,25,28,5.2,7.8,7.4,8,22400,51400,1.1,2.6,0.5,1.2,3,9,43,120,,,,2023
4357,"RUSHIKONDA BEACH,VISAKHAPATNAM",BEACH,ANDHRA PRADESH,25,33,5.4,6.4,6.6,8.2,40600,53000,1.4,2.8,0.3,0.7,3,7,64,120,,,,2023
5686,"Suryalanka Beach, Bapatla, Bapatla District",BEACH,ANDHRA PRADESH,22,26,6,6.6,7.3,7.9,47100,53500,2.4,2.8,0.9,1.3,4,14,28,93,2,2,,2023
4361,"SEA WATER BAY BENGAL, UPPADA BEACH ROAD, KAKINADA",BEACH,ANDHRA PRADESH,25,27,6,7.3,7.2,7.9,34700,52000,2.2,2.8,0.5,1.6,3,14,28,150,,,,2023
4386,"SEA WATER, BAY OF BENGAL, VODAREVU BEACH, CHIRALA",BEACH,ANDHRA PRADESH,23,26,6.1,6.8,7.2,8.1,40700,53700,2.4,2.9,0.9,1.4,3,14,39,150,2,3,,2023
5678,SARDAR VALLABHAI PATEL BRIDGE  NAVEL DOCKYARD,CREEK,ANDHRA PRADESH,24,31,1,5.8,6.2,7.4,17000,48800,1.8,5.6,0.5,3.7,3,21,43,1100,,,,2023
4349,"SEA WATER, BAY OF BENGAL, AFTER CONFLUENCE OF MARINE OUTFALL OF M/S.AUROBINDO PHARMA LTD. PYDIBHEEMAVARAM (V), RANASTHALAM (M)",MARINE,ANDHRA PRADESH,24,32,5,7.3,7,8,32800,53100,1.1,3.6,0.3,0.9,2,15,43,210,,,,2023
4352,"SEA WAER BAY OF BENGAL, AFTER CONFLUENCE OF MARINE OUTFALL OF M/S MATRIX LABORATORIES LTD THAMMAYYAPALEM (V)
PUSAPATIREGA (M)",MARINE,ANDHRA PRADESH,23,29,4.9,6.3,7.2,8.1,37500,52900,1.2,2.7,0.4,2,3,11,43,210,,,,2023
